 Cell ID      Clay       Silt       Sand      Total
R    37    3.507E-05  4.894E-04  6.899E-03  7.423E-03
L    37    7.146E-07  9.533E-06  1.236E-04  1.339E-04
R    43    5.402E-06  7.489E-05  9.630E-04  1.043E-03
L    43    0.000E+00  0.000E+00  0.000E+00  0.000E+00
R    45    9.424E-05  1.259E-03  1.683E-02  1.818E-02
L    45    0.000E+00  0.000E+00  0.000E+00  0.000E+00
R    46    2.378E-05  3.160E-04  4.760E-03  5.099E-03
L    46    1.041E-05  1.450E-04  1.820E-03  1.976E-03
R    48    1.615E-04  8.420E-04  1.080E-02  1.181E-02
L    48    4.129E-05  4.897E-05  4.208E-04  5.111E-04
R    50    6.697E-05  4.598E-04  4.977E-03  5.504E-03
L    50    2.572E-05  3.056E-05  2.636E-04  3.199E-04
R    52    0.000E+00  0.000E+00  0.000E+00  0.000E+00
L    52    1.325E-05  1.575E-05  1.375E-04  1.665E-04
R    56    0.000E+00  0.000E+00  0.000E+00  0.000E+00
L    56    0.000E+00  0.000E+00  0.000E+00  0.000E+00
R    57    3.405E-04  4.007E-03  4.424E-02  4.859E-02
L    57    2.617E-03  3.084E-03  2.572E-02  3.142E-02
R    59    6.964E-10  8.324E-10  7.572E-09  9.101E-09
L    59    0.000E+00  0.000E+00  0.000E+00  0.000E+00
R    60    6.950E-07  8.786E-06  1.173E-04  1.268E-04
L    60    3.520E-04  4.074E-04  2.982E-03  3.741E-03
R    61    1.487E-04  1.814E-04  1.519E-03  1.850E-03
L    61    3.141E-05  4.312E-04  5.196E-03  5.659E-03
R    66    2.120E-07  2.519E-07  1.983E-06  2.447E-06
L    66    5.792E-05  6.771E-05  4.999E-04  6.255E-04
R    68    2.757E-05  3.242E-05  2.668E-04  3.268E-04
L    68    2.682E-04  3.449E-04  2.932E-03  3.545E-03
R    69    3.067E-07  3.638E-07  3.180E-06  3.850E-06
L    69    3.089E-04  3.631E-04  2.804E-03  3.476E-03
R    71    2.518E-06  2.933E-06  2.271E-05  2.816E-05
L    71    2.685E-05  3.149E-05  2.530E-04  3.114E-04
R    73    4.799E-05  6.858E-04  6.889E-03  7.623E-03
L    73    5.603E-04  6.571E-04  5.189E-03  6.407E-03
R    75    1.278E-05  1.763E-04  2.072E-03  2.261E-03
L    75    2.609E-05  3.162E-05  2.908E-04  3.485E-04
R    76    0.000E+00  0.000E+00  0.000E+00  0.000E+00
L    76    5.320E-08  6.455E-08  5.593E-07  6.770E-07
R    77    1.136E-05  1.286E-05  8.058E-05  1.048E-04
L    77    3.689E-03  4.319E-03  3.459E-02  4.260E-02
R    81    1.148E-06  1.566E-05  1.911E-04  2.079E-04
L    81    6.070E-08  8.230E-07  1.032E-05  1.121E-05
R    82    1.280E-07  1.504E-07  1.237E-06  1.515E-06
L    82    1.637E-08  1.952E-08  1.756E-07  2.115E-07
R    84    3.975E-05  4.484E-05  2.688E-04  3.533E-04
L    84    6.141E-08  7.264E-08  6.265E-07  7.606E-07
R    85    1.054E-05  1.224E-05  9.188E-05  1.147E-04
L    85    2.733E-06  3.215E-06  2.665E-05  3.260E-05
R    87    2.791E-06  3.901E-05  4.369E-04  4.787E-04
L    87    1.654E-06  1.936E-06  1.534E-05  1.893E-05
R    88    6.341E-07  7.488E-07  6.073E-06  7.456E-06
L    88    1.179E-06  1.401E-06  1.224E-05  1.482E-05
R    90    1.422E-08  1.770E-08  1.547E-07  1.866E-07
L    90    1.219E-07  1.435E-07  1.193E-06  1.458E-06
R    91    4.013E-06  4.697E-06  3.788E-05  4.659E-05
L    91    1.868E-06  2.176E-06  1.688E-05  2.092E-05
R    92    5.236E-05  6.104E-05  4.751E-04  5.885E-04
L    92    0.000E+00  0.000E+00  0.000E+00  0.000E+00
R    93    0.000E+00  0.000E+00  0.000E+00  0.000E+00
L    93    1.369E-04  1.612E-04  1.345E-03  1.643E-03
R    97    1.354E-04  1.573E-04  1.195E-03  1.488E-03
L    97    1.111E-06  1.303E-06  1.038E-05  1.279E-05
R    98    1.923E-03  2.234E-03  1.688E-02  2.104E-02
L    98    1.737E-04  2.051E-04  1.757E-03  2.136E-03
R    99    5.334E-06  6.209E-06  4.787E-05  5.942E-05
L    99    8.332E-06  9.628E-06  7.029E-05  8.825E-05
R   100    5.544E-05  6.265E-05  3.830E-04  5.010E-04
L   100    3.225E-05  3.780E-05  2.907E-04  3.608E-04
R   102    2.374E-03  2.793E-03  2.318E-02  2.835E-02
L   102    3.665E-04  4.140E-04  2.529E-03  3.309E-03
R   104    6.300E-04  6.913E-04  2.662E-03  3.983E-03
L   104    4.442E-04  5.046E-04  2.932E-03  3.880E-03
R   106    2.988E-07  3.459E-07  2.435E-06  3.080E-06
L   106    7.319E-07  8.430E-07  6.065E-06  7.640E-06
R   107    2.860E-07  3.347E-07  2.678E-06  3.299E-06
L   107    9.917E-07  1.143E-06  8.244E-06  1.038E-05
R   108    4.931E-05  5.745E-05  4.472E-04  5.539E-04
L   108    4.663E-06  5.353E-06  3.750E-05  4.751E-05
R   110    8.486E-05  9.397E-05  4.460E-04  6.249E-04
L   110    8.574E-05  9.722E-05  6.127E-04  7.956E-04
R   111    5.699E-07  6.611E-07  4.942E-06  6.173E-06
L   111    3.326E-09  3.914E-09  3.126E-08  3.850E-08
R   113    4.082E-05  4.861E-05  4.273E-04  5.167E-04
L   113    2.101E-06  2.481E-06  2.116E-05  2.574E-05
R   114    1.143E-04  1.371E-04  1.246E-03  1.498E-03
L   114    3.228E-04  3.826E-04  3.188E-03  3.894E-03
R   115    1.691E-07  2.004E-07  1.758E-06  2.128E-06
L   115    1.193E-06  1.387E-06  1.100E-05  1.358E-05
R   116    1.705E-04  1.978E-04  1.490E-03  1.858E-03
L   116    1.038E-03  1.232E-03  9.836E-03  1.211E-02
R   120    1.298E-05  1.525E-05  1.247E-04  1.529E-04
L   120    4.439E-05  5.170E-05  4.034E-04  4.995E-04
R   121    6.442E-06  7.589E-06  6.291E-05  7.694E-05
L   121    1.908E-04  2.272E-04  2.024E-03  2.442E-03
R   125    6.040E-06  7.156E-06  6.170E-05  7.490E-05
L   125    1.757E-05  2.067E-05  1.709E-04  2.091E-04
R   126    5.625E-06  6.609E-06  5.425E-05  6.648E-05
L   126    1.859E-05  2.186E-05  1.802E-04  2.207E-04
R   132    8.520E-05  1.355E-04  4.495E-04  6.702E-04
L   132    1.017E-05  1.196E-05  9.855E-05  1.207E-04
R   133    1.133E-03  1.918E-03  4.113E-03  7.164E-03
L   133    3.956E-07  4.633E-07  3.919E-06  4.778E-06
R   137    5.507E-04  8.967E-04  2.539E-03  3.986E-03
L   137    6.626E-07  7.775E-07  6.370E-06  7.810E-06
R   138    3.680E-04  4.357E-04  3.794E-03  4.598E-03
L   138    6.597E-05  7.720E-05  6.147E-04  7.579E-04
R   139    5.868E-05  7.020E-05  6.071E-04  7.360E-04
L   139    1.857E-04  2.366E-04  1.704E-03  2.127E-03
R   140    4.202E-08  4.898E-08  4.115E-07  5.025E-07
L   140    1.062E-07  1.221E-07  1.028E-06  1.256E-06
R   142    1.538E-03  1.800E-03  1.457E-02  1.791E-02
L   142    1.154E-02  1.455E-02  1.810E-02  4.419E-02
R   144    7.605E-06  9.624E-06  8.361E-06  2.559E-05
L   144    2.789E-05  3.855E-05  3.286E-05  9.930E-05
R   148    7.146E-06  8.314E-06  6.405E-05  7.951E-05
L   148    3.484E-06  4.096E-06  3.355E-05  4.113E-05
R   149    2.742E-05  3.217E-05  2.656E-04  3.252E-04
L   149    1.031E-07  1.213E-07  1.057E-06  1.282E-06
R   186    7.086E-06  8.397E-06  7.108E-05  8.657E-05
L   186    1.197E-04  1.376E-04  9.591E-04  1.216E-03
R   187    6.430E-04  7.354E-04  5.049E-03  6.428E-03
L   187    4.042E-06  4.769E-06  3.940E-05  4.821E-05
R   188    4.181E-05  4.905E-05  3.981E-04  4.889E-04
L   188    9.175E-04  1.027E-03  5.884E-03  7.828E-03
R   190    3.818E-07  4.377E-11  2.975E-06  3.357E-06
L   190    5.605E-07  3.716E-11  4.650E-06  5.211E-06
R   192    5.905E-04  4.629E-04  3.286E-04  1.382E-03
L   192    2.876E-05  2.693E-09  2.331E-04  2.619E-04
R   193    1.778E-05  1.372E-09  1.472E-04  1.650E-04
L   193    3.332E-04  3.395E-04  1.582E-03  2.255E-03
R   195    7.697E-04  6.413E-04  1.412E-03  2.822E-03
L   195    2.799E-04  2.962E-04  1.387E-03  1.963E-03
R   197    6.551E-06  4.008E-10  5.506E-05  6.161E-05
L   197    1.088E-04  1.281E-04  1.061E-03  1.298E-03
R   201    3.316E-03  2.670E-03  8.669E-03  1.466E-02
L   201    4.019E-04  2.215E-04  1.400E-03  2.023E-03
R   202    4.337E-05  4.852E-05  3.220E-04  4.139E-04
L   202    3.207E-06  3.705E-06  2.711E-05  3.402E-05
R   228    8.119E-05  6.778E-05  1.279E-04  2.769E-04
L   228    7.951E-06  5.836E-10  6.538E-05  7.334E-05
R   230    7.902E-08  1.079E-12  7.132E-07  7.922E-07
L   230    1.666E-05  1.276E-09  1.382E-04  1.549E-04
R   232    2.576E-03  1.739E-03  7.557E-04  5.070E-03
L   232    3.707E-03  4.984E-03  3.035E-02  3.904E-02
R   233    5.981E-03  7.470E-03  7.168E-03  2.062E-02
L   233    2.734E-04  3.307E-04  2.965E-03  3.569E-03
R   234    2.684E-05  1.091E-09  2.309E-04  2.578E-04
L   234    2.357E-03  4.462E-03  2.989E-03  9.807E-03
R   236    3.039E-05  3.678E-05  3.240E-04  3.912E-04
L   236    1.281E-05  1.506E-05  1.239E-04  1.518E-04
R   246    1.022E-04  9.439E-09  8.313E-04  9.335E-04
L   246    4.301E-06  5.028E-06  3.978E-05  4.911E-05
R   247    1.411E-07  1.680E-07  1.508E-06  1.817E-06
L   247    7.832E-08  9.334E-08  8.104E-07  9.820E-07
R   248    2.317E-03  2.879E-03  4.256E-03  9.453E-03
L   248    2.302E-04  2.894E-04  2.257E-04  7.453E-04
R   249    1.703E-04  1.090E-04  3.661E-05  3.159E-04
L   249    1.260E-05  1.337E-05  3.547E-05  6.144E-05
R   251    5.035E-09  1.565E-09  2.922E-13  6.601E-09
L   251    1.810E-06  2.077E-06  1.447E-05  1.836E-05
R   253    2.829E-06  3.266E-06  2.383E-05  2.992E-05
L   253    1.947E-06  2.242E-06  1.590E-05  2.009E-05
R   254    5.948E-04  1.126E-03  5.479E-04  2.268E-03
L   254    1.522E-05  1.734E-05  1.131E-04  1.457E-04
R   256    5.833E-05  6.658E-05  4.436E-04  5.685E-04
L   256    1.960E-04  2.231E-04  1.156E-03  1.575E-03
R   258    3.572E-03  6.756E-03  2.378E-03  1.271E-02
L   258    1.006E-03  1.165E-03  8.489E-03  1.066E-02
R   260    1.104E-03  1.424E-03  9.959E-04  3.524E-03
L   260    8.891E-05  1.682E-04  7.417E-05  3.313E-04
R   268    1.191E-04  1.491E-04  1.097E-04  3.779E-04
L   268    2.118E-04  2.651E-04  1.924E-04  6.693E-04
R   313    8.927E-05  1.073E-04  9.321E-04  1.129E-03
L   313    5.131E-05  6.010E-05  4.819E-04  5.933E-04
R   314    1.038E-04  1.241E-04  1.114E-03  1.341E-03
L   314    1.415E-06  1.673E-06  1.425E-05  1.734E-05
R   315    2.516E-03  2.904E-03  2.091E-02  2.633E-02
L   315    7.905E-05  9.553E-05  8.561E-04  1.031E-03
R   316    6.689E-04  7.965E-04  7.008E-03  8.474E-03
L   316    1.334E-05  1.575E-05  1.334E-04  1.625E-04
R   317    2.117E-02  2.481E-02  1.974E-01  2.434E-01
L   317    3.786E-03  4.444E-03  3.308E-02  4.131E-02
R   318    1.061E-04  1.221E-04  8.525E-04  1.081E-03
L   318    1.855E-08  2.265E-08  1.697E-07  2.110E-07
R   319    1.841E-04  3.459E-04  2.356E-04  7.657E-04
L   319    1.392E-06  1.614E-06  1.212E-05  1.512E-05
R   323    1.706E-03  2.285E-03  1.383E-02  1.783E-02
L   323    8.129E-05  1.086E-04  4.670E-04  6.569E-04
R   324    4.024E-07  5.138E-07  5.053E-07  1.422E-06
L   324    5.571E-07  7.109E-07  6.896E-07  1.958E-06
R   328    3.142E-08  3.784E-08  3.046E-07  3.738E-07
L   328    3.012E-07  3.501E-07  2.664E-06  3.315E-06
R   329    5.117E-04  5.894E-04  4.210E-03  5.311E-03
L   329    6.702E-05  7.868E-05  6.366E-04  7.823E-04
R   331    1.806E-03  2.037E-03  1.226E-02  1.610E-02
L   331    3.110E-03  3.637E-03  2.693E-02  3.367E-02
R   333    1.129E-04  1.265E-04  7.170E-04  9.564E-04
L   333    4.402E-05  5.083E-05  3.701E-04  4.649E-04
R   334    1.895E-06  2.181E-06  1.533E-05  1.941E-05
L   334    6.684E-05  1.260E-04  6.191E-05  2.548E-04
R   336    3.506E-04  4.029E-04  2.759E-03  3.512E-03
L   336    8.267E-04  9.415E-04  5.789E-03  7.557E-03
R   337    1.872E-04  2.151E-04  1.511E-03  1.913E-03
L   337    2.661E-04  3.063E-04  2.169E-03  2.741E-03
R   341    1.566E-06  1.819E-06  1.380E-05  1.719E-05
L   341    6.314E-07  7.300E-07  5.363E-06  6.724E-06
R   351    1.270E-03  2.400E-03  4.637E-04  4.133E-03
L   351    2.615E-05  3.025E-05  2.232E-04  2.796E-04
