 Reach ID     Clay       Silt       Sand      Total
     33    2.039E+02  2.285E+02  2.718E+03  3.150E+03
     38    2.729E+02  3.542E+02  5.969E+02  1.224E+03
     44    7.334E+01  8.759E+01  5.439E+02  7.048E+02
     47    4.669E+01  6.208E+01  4.144E+02  5.231E+02
     49    4.130E+01  7.907E+01  6.278E+02  7.482E+02
     51    2.635E+01  3.070E+01  5.279E+02  5.850E+02
     53    1.714E+02  1.941E+02  5.188E+03  5.554E+03
     58    1.009E+02  1.562E+02  1.863E+03  2.120E+03
     62    2.209E+02  2.651E+02  1.607E+03  2.093E+03
     67    5.273E+04  5.105E+04  3.820E+04  1.420E+05
     70    2.991E+01  4.348E+01  1.065E+03  1.138E+03
     72    3.222E+01  5.232E+01  1.277E+03  1.361E+03
     74    5.185E+04  5.023E+04  1.872E+04  1.208E+05
     78    4.263E+01  4.866E+01  6.819E+02  7.732E+02
     83    5.055E+04  4.998E+04  5.512E+04  1.557E+05
     86    4.950E+04  4.929E+04  2.369E+04  1.225E+05
     89    4.936E+04  4.934E+04  3.263E+04  1.313E+05
     94    0.000E+00  0.000E+00  0.000E+00  0.000E+00
     99    6.189E+01  5.994E+01  3.376E+02  4.594E+02
    101    9.390E+01  9.561E+01  5.206E+02  7.102E+02
    103    5.099E+01  4.583E+01  1.275E+02  2.243E+02
    105    1.270E+04  1.428E+04  2.812E+04  5.510E+04
    109    1.226E+04  1.387E+04  1.819E+04  4.432E+04
    112    1.192E+04  1.352E+04  2.091E+04  4.635E+04
    117    1.019E+02  8.253E+01  2.649E+02  4.494E+02
    122    1.329E+02  1.473E+02  8.259E+02  1.106E+03
    127    7.418E+02  7.800E+02  1.640E+03  3.161E+03
    134    6.513E+02  9.930E+02  1.179E+03  2.824E+03
    141    1.278E+02  1.382E+02  7.569E+02  1.023E+03
    143    1.093E+03  1.248E+03  3.245E+03  5.586E+03
    145    5.749E+02  6.998E+02  9.604E+02  2.235E+03
    150    2.331E+03  2.694E+03  4.978E+03  1.000E+04
    163    1.180E+02  1.209E+02  3.868E+02  6.257E+02
    168    4.282E+02  6.417E+02  4.214E+02  1.491E+03
    171    1.061E+03  1.321E+03  1.124E+03  3.506E+03
    172    9.196E+02  1.179E+03  1.340E+03  3.439E+03
    173    1.422E+02  1.875E+02  3.353E+02  6.649E+02
    176    9.097E+01  8.065E+01  2.337E+02  4.053E+02
    177    7.329E+01  6.609E+01  2.247E+02  3.641E+02
    178    4.377E+01  3.993E+01  1.348E+02  2.185E+02
    179    1.796E+02  1.949E+02  1.204E+03  1.579E+03
    180    4.559E+01  4.127E+01  1.782E+02  2.651E+02
    181    1.173E+02  1.060E+02  4.050E+02  6.284E+02
    182    1.849E+02  1.864E+02  1.079E+03  1.450E+03
    183    1.331E+02  1.373E+02  7.338E+02  1.004E+03
    184    3.380E+04  3.244E+04  3.044E+04  9.668E+04
    185    3.290E+04  3.105E+04  9.212E+03  7.317E+04
    189    6.439E+02  3.991E+02  1.451E+02  1.188E+03
    191    2.945E+04  2.881E+04  6.656E+01  5.833E+04
    194    2.115E+02  1.472E+02  3.305E+02  6.891E+02
    196    3.927E+02  3.412E+02  1.070E+03  1.804E+03
    198    2.159E+02  2.070E+02  1.218E+03  1.641E+03
    203    1.404E+02  1.477E+02  8.294E+02  1.118E+03
    229    7.252E+01  5.121E+01  2.894E+01  1.527E+02
    231    1.133E+04  1.147E+04  3.139E+03  2.594E+04
    235    1.504E+03  1.664E+03  4.170E+03  7.338E+03
    237    2.648E+02  3.229E+02  3.554E+02  9.431E+02
    250    1.649E+02  1.912E+02  6.420E+02  9.980E+02
    252    5.129E+03  6.021E+03  5.159E+02  1.167E+04
    255    1.468E+02  2.471E+02  4.056E+02  7.995E+02
    257    3.227E+02  4.935E+02  6.573E+02  1.474E+03
    259    1.319E+03  1.931E+03  2.042E+03  5.293E+03
    261    2.454E+02  3.598E+02  2.777E+02  8.830E+02
    268    1.123E+02  1.655E+02  1.184E+02  3.961E+02
    281    3.484E+01  3.005E+01  5.124E+01  1.161E+02
    282    5.164E+02  6.970E+02  5.330E+02  1.746E+03
    283    2.581E+02  2.990E+02  3.875E+02  9.446E+02
    284    1.704E+03  2.203E+03  2.897E+03  6.803E+03
    285    4.443E+02  4.884E+02  1.379E+03  2.312E+03
    286    2.030E+03  1.832E+03  3.164E+03  7.026E+03
    287    1.881E+03  1.773E+03  2.538E+03  6.192E+03
    288    2.951E+02  2.293E+02  2.795E+02  8.039E+02
    297    1.241E+02  1.319E+02  5.416E+02  7.977E+02
    298    5.139E+02  5.393E+02  1.192E+03  2.245E+03
    299    7.730E+02  9.207E+02  2.332E+03  4.025E+03
    300    7.883E+01  8.558E+01  1.725E+02  3.369E+02
    301    9.021E+02  9.317E+02  1.584E+03  3.418E+03
    302    3.545E+02  3.748E+02  4.530E+02  1.182E+03
    303    4.321E+02  4.768E+02  4.122E+02  1.321E+03
    306    4.021E+02  4.570E+02  3.087E+02  1.168E+03
    307    1.570E+02  1.771E+02  1.239E+03  1.573E+03
    310    9.225E+01  9.024E+01  6.486E+01  2.473E+02
    311    1.956E+04  1.955E+04  1.018E+04  4.930E+04
    312    1.908E+04  1.913E+04  1.706E+04  5.527E+04
    313    1.897E+04  1.906E+04  2.481E+04  6.284E+04
    320    1.195E+02  1.182E+02  6.114E+02  8.491E+02
    325    2.237E+02  3.085E+02  5.439E+02  1.076E+03
    330    6.888E+02  1.123E+03  6.400E+02  2.452E+03
    332    1.151E+04  1.442E+04  5.041E+03  3.097E+04
    335    1.044E+04  1.302E+04  9.562E+02  2.442E+04
    338    3.625E+02  4.321E+02  5.743E+02  1.369E+03
    342    5.630E+01  5.531E+01  2.823E+02  3.939E+02
    352    5.579E+03  7.572E+03  9.776E+03  2.293E+04
    389    2.645E+02  3.353E+02  2.490E+02  8.487E+02
    390    9.572E+01  8.717E+01  2.770E+02  4.599E+02
    391    1.731E+03  2.870E+03  3.625E+03  8.226E+03
    392    2.370E+02  2.426E+02  1.149E+03  1.628E+03
    393    2.923E+02  3.076E+02  1.671E+03  2.271E+03
    394    3.607E+02  3.904E+02  2.626E+03  3.377E+03
    395    1.213E+02  1.227E+02  4.926E+02  7.367E+02
    396    2.206E+02  2.476E+02  2.226E+03  2.694E+03
    399    1.464E+02  1.422E+02  6.254E+02  9.140E+02
    402    1.173E+02  1.108E+02  1.560E+02  3.840E+02
    403    3.099E+02  2.923E+02  1.463E+03  2.065E+03
    408    4.352E+02  4.629E+02  1.826E+03  2.724E+03
    409    8.250E+01  9.259E+01  3.394E+02  5.145E+02
    410    3.525E+02  3.793E+02  2.497E+03  3.229E+03
    413    2.287E+02  2.415E+02  1.255E+03  1.725E+03
    448    2.871E+02  4.187E+02  1.308E+03  2.014E+03
